Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,41,4,T:System.Windows.RoutedEventArgs,,,,,"private void ButtonClick(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,43,8,"M:System.Windows.RoutedEventHandler.Invoke(System.Object,System.Windows.RoutedEventArgs)",,,,,"Click?.Invoke(this, e);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,43,8,T:System.Windows.RoutedEventHandler,,,,,"Click?.Invoke(this, e);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,38,14,T:System.Windows.DependencyProperty,,,,,"SetValue(CaptionProperty, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,38,14,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(CaptionProperty, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,37,14,T:System.Windows.DependencyProperty,,,,,return (string)GetValue(CaptionProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,37,14,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (string)GetValue(CaptionProperty);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,32,46,T:System.Windows.DependencyProperty,,,,,"CaptionProperty = DependencyProperty.Register(          ""Caption"", typeof(string), typeof(IconButton))"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,29,14,T:System.Windows.DependencyProperty,,,,,"SetValue(PackIconKindProperty, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,PasswordMakerWpf\PasswordMakerWpf.csproj,File,PasswordMakerWpf\Controls\IconButton.xaml.cs,29,14,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(PackIconKindProperty, value);"
